no_internet_service,payment_method_mailed_check,contract_one_year,monthly_charges,tenure,churn
0.0,1.0,1.0,65.8,64,0
0.0,1.0,0.0,50.3,2,0
1.0,1.0,0.0,20.25,8,0
0.0,1.0,0.0,70.15,1,1
0.0,1.0,0.0,44.65,1,1
0.0,0.0,0.0,60.5,60,0
0.0,0.0,0.0,90.7,20,0
0.0,0.0,0.0,51.1,22,0
0.0,0.0,1.0,70.7,54,0
0.0,0.0,0.0,80.55,1,0
1.0,0.0,1.0,19.3,13,0
0.0,0.0,0.0,96.55,24,0
0.0,0.0,0.0,74.1,6,0
0.0,0.0,0.0,102.6,38,0
0.0,0.0,1.0,85.15,12,0
0.0,0.0,0.0,44.65,26,0
0.0,1.0,0.0,40.55,6,0
0.0,0.0,1.0,87.4,67,1
0.0,0.0,1.0,103.75,62,1
0.0,0.0,0.0,39.45,50,0
0.0,0.0,0.0,65.65,72,0
0.0,0.0,0.0,98.9,31,1
0.0,0.0,0.0,92.0,72,0
0.0,0.0,0.0,44.45,51,0
1.0,1.0,0.0,20.4,1,0
0.0,0.0,0.0,115.25,60,0
1.0,1.0,0.0,19.75,24,0
0.0,0.0,0.0,80.65,2,1
0.0,0.0,0.0,77.95,4,1
0.0,1.0,0.0,65.65,67,0
0.0,0.0,1.0,106.4,69,0
0.0,1.0,0.0,69.55,1,1
1.0,0.0,0.0,24.85,67,0
0.0,0.0,0.0,89.9,1,1
0.0,0.0,0.0,83.85,67,0
0.0,0.0,0.0,86.45,27,0
0.0,0.0,0.0,106.5,41,0
0.0,0.0,0.0,109.2,64,0
0.0,0.0,0.0,69.6,1,1
0.0,0.0,0.0,44.75,6,1
0.0,0.0,0.0,65.25,72,0
0.0,0.0,1.0,70.1,57,1
0.0,0.0,0.0,72.95,70,0
0.0,0.0,0.0,85.55,10,1
0.0,1.0,0.0,55.7,1,1
0.0,1.0,0.0,89.85,71,0
0.0,1.0,0.0,40.3,3,0
1.0,1.0,0.0,24.2,63,0
0.0,0.0,0.0,74.6,25,0
1.0,1.0,0.0,24.4,62,0
0.0,0.0,1.0,94.75,55,0
0.0,0.0,0.0,79.2,52,0
0.0,0.0,0.0,81.0,16,1
0.0,0.0,0.0,87.8,29,0
0.0,0.0,0.0,35.1,2,1
0.0,0.0,0.0,70.7,8,0
0.0,1.0,0.0,85.3,5,0
1.0,0.0,0.0,19.7,9,0
0.0,0.0,0.0,74.4,32,1
0.0,0.0,0.0,84.5,72,0
0.0,0.0,0.0,49.65,7,0
0.0,0.0,0.0,58.4,18,0
0.0,0.0,0.0,105.1,48,0
0.0,0.0,0.0,96.35,71,0
0.0,0.0,0.0,70.05,1,1
0.0,0.0,1.0,105.2,69,0
1.0,0.0,0.0,20.5,60,0
0.0,0.0,0.0,25.05,1,1
0.0,0.0,0.0,49.0,1,0
0.0,0.0,0.0,91.7,38,0
1.0,1.0,0.0,20.05,4,0
0.0,0.0,0.0,99.45,31,0
0.0,0.0,0.0,78.85,14,0
0.0,0.0,0.0,109.7,71,0
0.0,0.0,0.0,80.95,2,1
0.0,0.0,0.0,93.4,64,0
0.0,0.0,0.0,80.55,9,0
0.0,0.0,1.0,105.6,56,0
0.0,0.0,0.0,94.2,11,0
1.0,0.0,0.0,19.4,72,0
1.0,1.0,0.0,19.65,1,0
0.0,0.0,0.0,109.45,60,0
0.0,0.0,0.0,50.0,33,0
1.0,0.0,0.0,19.95,72,0
0.0,0.0,1.0,87.15,26,0
0.0,0.0,0.0,85.8,3,1
0.0,0.0,0.0,39.2,22,0
0.0,1.0,0.0,63.55,22,0
0.0,1.0,0.0,53.55,1,1
0.0,0.0,0.0,54.75,27,0
0.0,0.0,0.0,69.7,1,1
0.0,0.0,0.0,106.3,41,1
0.0,0.0,0.0,74.3,14,1
0.0,0.0,0.0,69.35,7,1
0.0,0.0,0.0,54.2,32,0
0.0,0.0,1.0,68.5,41,0
0.0,0.0,0.0,46.0,4,1
1.0,0.0,0.0,25.95,56,0
0.0,0.0,0.0,110.45,33,1
0.0,0.0,0.0,66.4,2,1
0.0,0.0,0.0,105.7,28,1
0.0,0.0,0.0,54.5,1,0
1.0,1.0,1.0,18.8,1,0
0.0,0.0,0.0,70.0,2,1
0.0,1.0,0.0,74.4,4,1
0.0,0.0,0.0,105.35,34,0
0.0,0.0,1.0,58.35,64,0
1.0,1.0,0.0,18.95,7,0
0.0,0.0,1.0,84.2,51,0
1.0,1.0,1.0,20.35,21,0
0.0,0.0,0.0,71.05,21,0
0.0,0.0,1.0,90.65,57,0
0.0,0.0,0.0,75.5,6,1
0.0,0.0,0.0,49.4,8,0
0.0,0.0,0.0,25.55,18,0
0.0,1.0,0.0,70.1,7,1
0.0,0.0,0.0,59.6,35,0
0.0,1.0,1.0,74.75,32,0
0.0,0.0,0.0,100.45,30,0
0.0,1.0,1.0,50.35,26,0
0.0,0.0,0.0,95.1,38,0
0.0,0.0,0.0,113.2,41,1
0.0,0.0,0.0,44.85,34,0
0.0,0.0,1.0,60.0,55,0
0.0,0.0,0.0,94.0,57,0
0.0,0.0,1.0,104.6,66,0
0.0,0.0,0.0,86.1,43,0
0.0,0.0,0.0,76.3,32,0
1.0,1.0,0.0,20.25,1,0
0.0,1.0,1.0,80.75,40,0
0.0,0.0,0.0,98.05,41,0
0.0,0.0,0.0,90.5,30,0
0.0,0.0,0.0,80.1,3,1
0.0,0.0,0.0,104.1,54,0
0.0,1.0,0.0,94.85,9,1
0.0,0.0,0.0,75.4,7,0
0.0,0.0,1.0,100.35,58,0
0.0,0.0,0.0,89.45,52,0
0.0,0.0,1.0,39.95,26,0
1.0,1.0,0.0,20.35,34,0
0.0,1.0,0.0,80.6,53,0
0.0,0.0,0.0,87.75,15,0
1.0,1.0,0.0,19.45,1,1
0.0,0.0,0.0,55.8,5,0
0.0,0.0,0.0,105.35,34,0
0.0,0.0,0.0,101.35,32,0
0.0,0.0,1.0,35.4,41,0
0.0,0.0,1.0,54.2,25,0
0.0,1.0,1.0,62.1,17,0
1.0,1.0,0.0,24.8,17,0
0.0,1.0,0.0,84.7,70,0
1.0,1.0,1.0,19.2,43,0
1.0,1.0,0.0,24.35,71,0
0.0,1.0,0.0,24.45,2,1
0.0,0.0,0.0,74.6,49,0
0.0,0.0,1.0,105.0,72,0
0.0,1.0,0.0,84.3,26,0
1.0,1.0,1.0,20.1,18,0
0.0,0.0,0.0,93.3,1,1
0.0,0.0,1.0,24.1,9,1
0.0,0.0,0.0,76.55,28,0
1.0,0.0,0.0,19.25,60,0
1.0,0.0,0.0,20.85,23,0
0.0,0.0,0.0,79.75,15,1
0.0,1.0,0.0,67.45,29,0
1.0,0.0,0.0,19.8,56,0
0.0,1.0,1.0,54.6,11,0
0.0,0.0,1.0,69.35,27,0
0.0,0.0,0.0,70.0,1,1
0.0,0.0,1.0,90.55,66,0
0.0,0.0,0.0,56.55,2,0
1.0,1.0,0.0,20.15,19,0
0.0,0.0,1.0,94.95,62,0
0.0,0.0,1.0,78.65,51,0
0.0,0.0,0.0,94.25,72,0
0.0,0.0,0.0,89.5,10,1
0.0,0.0,1.0,68.1,37,0
0.0,1.0,0.0,50.15,35,0
0.0,1.0,0.0,60.95,10,0
1.0,1.0,0.0,20.15,1,1
1.0,0.0,0.0,20.25,26,0
0.0,0.0,0.0,82.3,72,0
0.0,0.0,0.0,99.55,38,1
0.0,0.0,0.0,99.85,18,1
0.0,1.0,1.0,52.7,56,0
0.0,1.0,1.0,54.45,36,0
0.0,0.0,0.0,88.75,22,0
0.0,0.0,0.0,104.1,65,0
0.0,0.0,0.0,53.8,27,0
0.0,0.0,0.0,74.2,29,0
0.0,0.0,0.0,95.35,10,1
0.0,0.0,0.0,104.95,50,0
0.0,0.0,0.0,86.25,9,0
1.0,1.0,1.0,24.35,23,0
0.0,0.0,0.0,54.75,24,1
0.0,1.0,0.0,55.7,1,0
0.0,0.0,0.0,64.4,20,0
0.0,0.0,1.0,60.3,58,1
1.0,1.0,0.0,20.15,47,0
0.0,0.0,0.0,93.05,72,0
0.0,0.0,0.0,50.2,14,0
0.0,0.0,1.0,54.75,62,0
0.0,0.0,0.0,76.5,37,1
0.0,0.0,0.0,34.3,29,0
1.0,0.0,0.0,19.2,62,0
0.0,0.0,0.0,99.8,46,0
0.0,0.0,0.0,94.2,2,1
0.0,0.0,0.0,95.7,50,0
0.0,0.0,0.0,104.65,24,1
0.0,0.0,0.0,113.6,55,0
0.0,0.0,0.0,115.1,64,0
0.0,0.0,0.0,88.95,4,1
0.0,0.0,0.0,29.45,6,0
0.0,0.0,0.0,76.45,1,1
0.0,0.0,0.0,62.8,37,0
1.0,0.0,0.0,24.85,71,0
0.0,0.0,1.0,55.35,29,0
0.0,0.0,0.0,89.35,7,1
0.0,0.0,0.0,98.85,32,0
0.0,0.0,0.0,94.75,59,0
0.0,0.0,0.0,74.55,40,0
0.0,1.0,0.0,29.5,10,1
1.0,1.0,1.0,19.15,27,0
0.0,0.0,0.0,86.5,7,1
1.0,0.0,0.0,24.75,65,0
0.0,0.0,0.0,81.0,10,1
0.0,1.0,0.0,84.4,23,0
0.0,0.0,0.0,85.3,47,0
0.0,0.0,0.0,55.05,11,0
0.0,1.0,0.0,34.0,12,0
0.0,0.0,0.0,44.5,30,0
0.0,0.0,0.0,75.7,1,1
0.0,0.0,1.0,109.4,57,0
0.0,0.0,0.0,70.2,11,0
1.0,0.0,0.0,19.5,9,0
0.0,0.0,0.0,70.05,4,1
0.0,0.0,0.0,73.75,13,0
1.0,1.0,1.0,20.75,35,0
0.0,0.0,0.0,50.95,67,0
0.0,0.0,1.0,47.85,51,0
0.0,1.0,0.0,51.25,1,1
0.0,0.0,0.0,100.45,71,0
0.0,0.0,0.0,79.3,29,0
0.0,0.0,1.0,103.75,33,1
0.0,1.0,1.0,36.05,11,0
0.0,0.0,0.0,78.3,13,0
1.0,1.0,0.0,19.35,42,0
0.0,1.0,0.0,29.25,8,0
0.0,1.0,0.0,44.4,1,1
0.0,0.0,0.0,108.2,72,0
0.0,0.0,0.0,87.2,47,0
0.0,0.0,0.0,85.45,30,0
0.0,0.0,1.0,111.55,51,0
0.0,0.0,0.0,94.65,16,0
0.0,0.0,0.0,100.45,34,0
0.0,0.0,0.0,86.55,8,1
1.0,0.0,0.0,24.85,72,0
0.0,0.0,1.0,71.75,60,0
0.0,0.0,0.0,115.8,72,0
1.0,1.0,0.0,20.5,12,0
0.0,0.0,0.0,82.5,65,0
1.0,0.0,0.0,19.45,32,0
0.0,0.0,1.0,94.35,67,1
0.0,0.0,1.0,78.8,45,0
0.0,0.0,0.0,59.85,60,0
0.0,0.0,0.0,55.45,1,0
0.0,0.0,0.0,64.9,58,0
0.0,0.0,0.0,94.75,9,1
0.0,0.0,0.0,74.35,1,0
1.0,1.0,1.0,24.4,8,0
0.0,0.0,0.0,45.15,2,1
1.0,0.0,0.0,20.25,47,0
0.0,1.0,0.0,74.45,1,1
0.0,1.0,1.0,25.85,1,0
0.0,0.0,0.0,100.6,10,1
0.0,1.0,1.0,24.85,29,0
0.0,1.0,0.0,75.8,58,0
1.0,1.0,1.0,19.35,14,0
1.0,1.0,0.0,20.75,7,0
0.0,0.0,0.0,83.6,5,1
1.0,0.0,1.0,20.15,18,1
1.0,0.0,1.0,19.9,25,0
0.0,0.0,0.0,64.2,46,0
0.0,0.0,0.0,50.8,1,1
0.0,0.0,0.0,48.45,1,0
0.0,0.0,0.0,84.7,68,0
0.0,0.0,0.0,44.35,18,0
0.0,0.0,0.0,80.0,8,0
1.0,1.0,0.0,19.55,64,0
0.0,0.0,0.0,89.2,4,1
0.0,0.0,0.0,79.85,63,0
0.0,0.0,1.0,105.85,54,0
0.0,0.0,0.0,74.55,54,0
0.0,0.0,0.0,69.85,72,0
0.0,0.0,0.0,50.95,4,0
0.0,0.0,0.0,91.15,72,0
0.0,0.0,0.0,49.45,60,0
0.0,0.0,0.0,90.2,20,1
0.0,0.0,0.0,70.55,35,0
0.0,0.0,0.0,49.05,2,1
0.0,0.0,0.0,50.35,26,0
0.0,0.0,0.0,82.65,14,0
0.0,0.0,0.0,74.7,1,1
1.0,0.0,1.0,19.85,53,0
1.0,0.0,0.0,19.3,1,0
1.0,0.0,0.0,20.3,58,0
0.0,1.0,0.0,51.0,5,0
0.0,0.0,0.0,105.55,53,0
1.0,0.0,0.0,20.15,4,0
0.0,0.0,0.0,98.7,49,0
0.0,0.0,0.0,90.0,2,1
0.0,0.0,0.0,67.75,2,1
0.0,0.0,0.0,74.75,3,1
0.0,0.0,0.0,93.85,7,1
0.0,0.0,1.0,44.6,14,0
0.0,0.0,0.0,99.4,18,1
0.0,0.0,0.0,81.3,27,0
0.0,0.0,0.0,59.75,66,0
0.0,0.0,0.0,86.45,43,0
0.0,0.0,0.0,112.55,69,0
0.0,0.0,0.0,93.25,71,0
0.0,0.0,0.0,83.4,50,0
1.0,0.0,1.0,19.1,51,0
0.0,1.0,1.0,80.85,27,0
1.0,0.0,0.0,20.05,70,0
0.0,0.0,0.0,79.6,2,1
0.0,0.0,0.0,49.65,6,1
0.0,0.0,0.0,101.1,59,1
0.0,1.0,0.0,92.5,10,1
0.0,0.0,0.0,98.5,29,1
1.0,1.0,0.0,20.35,5,0
0.0,0.0,0.0,94.25,21,1
0.0,0.0,1.0,104.3,62,0
1.0,0.0,0.0,19.45,36,0
1.0,1.0,0.0,19.85,3,1
0.0,0.0,0.0,116.0,69,0
0.0,0.0,0.0,30.9,2,1
0.0,0.0,0.0,85.2,8,1
0.0,0.0,0.0,30.75,3,0
0.0,0.0,0.0,45.75,1,1
0.0,0.0,0.0,98.9,12,1
0.0,0.0,0.0,75.6,18,0
0.0,0.0,0.0,24.9,20,0
0.0,0.0,0.0,59.0,22,1
0.0,1.0,0.0,46.0,5,1
1.0,0.0,0.0,25.15,24,0
0.0,1.0,0.0,69.25,64,0
0.0,0.0,0.0,98.65,26,0
0.0,0.0,0.0,105.3,68,1
1.0,1.0,0.0,20.6,60,0
0.0,1.0,1.0,55.1,25,0
1.0,1.0,0.0,25.5,51,0
0.0,0.0,0.0,81.25,7,0
1.0,0.0,1.0,19.35,39,0
0.0,0.0,0.0,80.45,72,0
0.0,0.0,0.0,95.0,27,0
0.0,1.0,1.0,85.85,56,0
1.0,0.0,0.0,19.6,57,0
0.0,0.0,0.0,106.65,17,0
0.0,0.0,0.0,56.25,1,1
1.0,1.0,0.0,19.6,35,0
0.0,0.0,0.0,72.8,13,0
1.0,0.0,0.0,19.75,69,0
1.0,0.0,0.0,19.25,1,0
0.0,1.0,0.0,74.65,7,1
0.0,0.0,0.0,116.75,72,0
0.0,0.0,0.0,98.7,3,1
0.0,0.0,1.0,61.1,53,0
0.0,1.0,0.0,81.85,38,0
0.0,1.0,0.0,80.3,4,0
0.0,0.0,0.0,84.5,62,0
0.0,1.0,0.0,49.05,1,0
0.0,1.0,0.0,84.25,46,0
0.0,0.0,0.0,59.55,19,0
0.0,0.0,0.0,91.35,72,0
1.0,0.0,0.0,25.05,38,0
0.0,0.0,1.0,105.7,71,0
0.0,0.0,0.0,100.0,16,1
0.0,0.0,1.0,105.95,66,1
0.0,0.0,0.0,95.0,11,1
0.0,1.0,0.0,84.0,66,0
0.0,0.0,0.0,91.0,28,0
0.0,1.0,0.0,35.05,1,1
0.0,0.0,0.0,109.5,72,0
1.0,1.0,0.0,19.35,18,0
1.0,0.0,1.0,19.0,49,0
0.0,0.0,0.0,104.4,41,0
0.0,1.0,0.0,70.45,1,1
0.0,0.0,0.0,75.5,27,1
1.0,0.0,0.0,20.65,5,0
0.0,0.0,1.0,35.2,43,0
0.0,0.0,0.0,55.3,47,0
0.0,0.0,0.0,49.55,1,0
0.0,0.0,0.0,59.45,15,1
0.0,0.0,0.0,71.05,7,0
1.0,0.0,0.0,19.6,14,0
0.0,0.0,0.0,80.45,43,0
0.0,0.0,0.0,84.45,29,1
1.0,0.0,1.0,24.45,46,0
0.0,0.0,0.0,49.3,24,0
0.0,0.0,1.0,59.3,51,1
0.0,0.0,1.0,60.35,70,0
0.0,0.0,0.0,45.9,12,0
1.0,1.0,0.0,19.65,3,0
0.0,0.0,0.0,84.45,9,1
0.0,1.0,0.0,84.45,15,0
1.0,0.0,0.0,24.25,72,0
1.0,1.0,1.0,20.4,4,0
0.0,0.0,0.0,103.95,72,0
1.0,1.0,1.0,20.35,10,0
0.0,0.0,0.0,28.45,5,1
0.0,0.0,0.0,85.65,8,0
0.0,0.0,0.0,91.25,26,1
0.0,0.0,0.0,70.9,68,0
1.0,1.0,1.0,20.2,2,0
0.0,0.0,0.0,74.5,8,1
1.0,1.0,0.0,19.85,3,0
0.0,1.0,0.0,98.15,13,1
0.0,0.0,0.0,69.15,34,0
0.0,0.0,0.0,65.7,72,0
0.0,1.0,0.0,43.55,21,0
0.0,0.0,0.0,84.85,40,1
0.0,1.0,0.0,54.85,16,0
0.0,1.0,1.0,56.05,26,0
0.0,0.0,0.0,99.05,49,1
1.0,0.0,0.0,19.2,46,0
0.0,0.0,0.0,79.5,11,1
0.0,1.0,0.0,84.45,72,0
1.0,0.0,0.0,20.45,47,0
1.0,1.0,0.0,19.25,1,1
0.0,0.0,0.0,89.75,59,0
0.0,0.0,0.0,87.95,71,0
1.0,1.0,1.0,20.05,25,0
0.0,0.0,0.0,107.7,72,0
1.0,1.0,0.0,20.0,2,0
0.0,0.0,1.0,62.15,35,0
0.0,0.0,1.0,104.65,71,0
0.0,0.0,0.0,94.65,15,0
1.0,1.0,1.0,20.45,2,0
0.0,0.0,0.0,79.3,26,0
0.0,1.0,0.0,88.3,3,1
0.0,1.0,0.0,49.8,49,0
0.0,0.0,0.0,75.75,27,0
0.0,1.0,0.0,50.5,3,0
0.0,0.0,1.0,51.0,45,0
0.0,0.0,1.0,104.5,37,0
0.0,0.0,0.0,116.85,72,0
0.0,0.0,1.0,92.05,62,0
0.0,0.0,0.0,59.8,54,0
0.0,0.0,1.0,101.9,15,0
1.0,0.0,0.0,20.05,1,1
0.0,0.0,0.0,25.2,1,1
0.0,0.0,0.0,61.2,72,0
0.0,0.0,1.0,79.3,30,0
0.0,0.0,0.0,78.85,40,0
0.0,1.0,0.0,71.1,71,0
0.0,0.0,0.0,33.5,18,1
0.0,0.0,0.0,25.1,17,0
1.0,1.0,0.0,20.15,40,0
0.0,0.0,0.0,110.8,72,0
1.0,1.0,0.0,19.75,2,0
1.0,0.0,1.0,24.05,53,0
0.0,0.0,0.0,116.25,71,0
0.0,0.0,0.0,96.55,20,0
0.0,1.0,0.0,54.85,7,0
0.0,0.0,0.0,84.35,15,0
1.0,0.0,0.0,24.05,72,0
1.0,1.0,0.0,23.8,39,0
1.0,1.0,0.0,25.5,45,0
0.0,0.0,0.0,84.0,5,0
0.0,0.0,1.0,39.65,47,0
1.0,0.0,0.0,19.85,4,0
0.0,1.0,0.0,100.75,47,0
0.0,0.0,0.0,95.3,33,0
1.0,0.0,0.0,25.25,15,0
0.0,0.0,0.0,89.4,66,0
0.0,0.0,0.0,90.1,6,1
1.0,0.0,0.0,19.7,17,0
0.0,0.0,0.0,94.9,41,0
0.0,0.0,1.0,99.8,56,0
0.0,0.0,0.0,54.9,28,0
0.0,0.0,0.0,53.65,72,0
0.0,0.0,0.0,49.75,1,0
0.0,0.0,0.0,106.6,56,0
0.0,1.0,0.0,79.15,70,0
0.0,0.0,1.0,90.65,44,0
0.0,0.0,0.0,44.35,2,1
0.0,0.0,0.0,71.6,58,0
0.0,0.0,1.0,83.45,48,0
0.0,0.0,0.0,84.8,11,0
0.0,0.0,0.0,115.55,72,0
0.0,0.0,0.0,42.1,72,0
0.0,0.0,0.0,85.9,26,0
0.0,0.0,0.0,39.9,52,0
1.0,0.0,0.0,20.1,52,0
0.0,1.0,0.0,53.45,27,0
0.0,0.0,0.0,79.05,1,1
0.0,0.0,0.0,81.4,45,0
0.0,1.0,0.0,89.2,61,0
0.0,0.0,0.0,80.45,2,0
0.0,0.0,0.0,66.35,11,1
0.0,0.0,1.0,60.25,21,0
0.0,0.0,0.0,71.15,1,1
0.0,0.0,0.0,98.25,6,1
0.0,0.0,0.0,73.5,71,0
0.0,0.0,0.0,70.65,72,0
0.0,0.0,1.0,60.95,67,0
0.0,0.0,1.0,58.85,21,0
1.0,0.0,0.0,19.7,72,0
1.0,0.0,1.0,20.1,33,0
0.0,0.0,0.0,95.2,3,1
0.0,0.0,0.0,93.8,31,1
0.0,0.0,1.0,50.05,55,0
0.0,0.0,0.0,74.35,1,1
1.0,1.0,0.0,18.85,10,0
1.0,1.0,0.0,20.45,1,0
0.0,0.0,0.0,95.6,14,0
0.0,0.0,1.0,74.25,66,0
0.0,0.0,0.0,106.1,72,0
0.0,0.0,0.0,29.6,11,0
0.0,0.0,0.0,93.4,32,0
0.0,0.0,0.0,101.95,7,1
0.0,0.0,1.0,59.95,31,0
0.0,0.0,1.0,43.7,61,0
0.0,0.0,0.0,70.15,1,1
0.0,0.0,0.0,104.05,71,0
0.0,1.0,0.0,70.6,1,1
0.0,1.0,0.0,90.7,3,0
0.0,0.0,0.0,78.45,4,1
0.0,0.0,1.0,85.9,27,0
0.0,0.0,0.0,95.4,3,0
1.0,1.0,0.0,20.3,1,0
0.0,0.0,0.0,89.7,72,0
0.0,0.0,1.0,50.7,61,0
0.0,0.0,0.0,110.2,68,0
1.0,0.0,0.0,20.7,2,0
1.0,0.0,0.0,20.15,9,0
1.0,0.0,0.0,20.4,31,0
0.0,0.0,0.0,74.4,3,1
0.0,0.0,0.0,109.95,35,0
1.0,0.0,1.0,20.1,15,0
0.0,0.0,0.0,89.3,1,1
0.0,0.0,0.0,106.15,42,1
0.0,1.0,0.0,45.4,1,1
0.0,0.0,0.0,95.75,71,0
1.0,0.0,0.0,20.15,50,0
1.0,0.0,0.0,25.65,55,0
0.0,1.0,0.0,74.05,47,0
1.0,0.0,0.0,19.55,27,0
1.0,0.0,1.0,19.9,25,0
0.0,0.0,0.0,99.15,36,1
0.0,0.0,1.0,90.35,9,0
0.0,0.0,1.0,102.15,45,0
0.0,0.0,0.0,79.8,63,0
0.0,0.0,0.0,68.55,8,0
0.0,0.0,0.0,65.6,72,0
0.0,0.0,0.0,80.85,17,1
0.0,0.0,0.0,77.5,51,1
1.0,1.0,0.0,20.85,8,0
1.0,0.0,0.0,19.75,3,1
1.0,0.0,0.0,23.9,71,0
0.0,0.0,0.0,92.7,65,0
0.0,0.0,0.0,108.4,72,0
0.0,0.0,0.0,64.8,72,0
0.0,0.0,0.0,110.05,69,0
0.0,0.0,0.0,43.7,62,0
0.0,0.0,1.0,115.6,54,0
1.0,1.0,0.0,19.1,3,0
0.0,0.0,0.0,59.95,23,0
1.0,0.0,0.0,20.75,35,0
0.0,0.0,0.0,49.75,52,0
0.0,0.0,0.0,91.15,2,0
1.0,0.0,0.0,19.7,64,0
0.0,0.0,0.0,24.4,1,0
0.0,0.0,0.0,74.35,60,0
0.0,0.0,0.0,35.15,3,1
0.0,0.0,0.0,105.0,72,0
0.0,0.0,0.0,85.7,3,0
1.0,0.0,0.0,24.7,34,0
0.0,0.0,0.0,75.35,43,0
0.0,0.0,1.0,102.85,66,0
1.0,0.0,0.0,24.8,10,0
0.0,0.0,1.0,102.35,35,1
1.0,1.0,0.0,20.25,1,0
0.0,0.0,0.0,48.95,29,0
0.0,0.0,0.0,69.75,50,0
0.0,0.0,0.0,75.1,1,1
0.0,0.0,1.0,64.9,23,0
0.0,0.0,0.0,74.4,13,1
0.0,1.0,0.0,54.45,68,0
1.0,1.0,0.0,19.6,15,0
0.0,0.0,1.0,70.95,44,0
0.0,0.0,0.0,83.85,40,0
1.0,0.0,0.0,24.0,48,0
0.0,0.0,0.0,75.5,1,0
0.0,0.0,1.0,53.6,53,0
0.0,1.0,0.0,44.9,19,0
0.0,0.0,0.0,44.15,1,0
0.0,0.0,1.0,81.9,39,0
0.0,0.0,1.0,104.3,43,0
0.0,1.0,0.0,87.1,4,1
0.0,0.0,0.0,80.6,71,0
0.0,0.0,0.0,85.3,47,1
0.0,0.0,0.0,70.75,29,1
0.0,0.0,1.0,45.35,58,0
0.0,0.0,0.0,49.1,15,1
0.0,0.0,0.0,84.05,72,0
0.0,0.0,0.0,55.55,43,1
0.0,0.0,0.0,98.5,25,1
1.0,1.0,0.0,20.35,2,0
0.0,0.0,0.0,44.05,5,0
0.0,0.0,0.0,59.65,15,0
1.0,1.0,0.0,19.65,11,0
1.0,1.0,0.0,26.45,37,0
0.0,0.0,0.0,100.75,11,1
0.0,1.0,0.0,74.55,17,0
0.0,0.0,1.0,97.95,62,0
0.0,1.0,0.0,49.0,27,0
1.0,0.0,1.0,20.2,25,0
1.0,0.0,0.0,19.8,50,0
0.0,0.0,0.0,99.45,69,1
1.0,1.0,1.0,25.55,28,0
1.0,0.0,0.0,20.5,35,0
1.0,1.0,1.0,19.1,29,0
0.0,0.0,1.0,103.15,65,0
1.0,0.0,1.0,19.9,35,0
1.0,0.0,0.0,19.55,51,0
0.0,1.0,0.0,45.65,4,1
0.0,0.0,0.0,84.2,65,0
0.0,0.0,1.0,99.95,23,0
0.0,1.0,0.0,80.45,38,0
0.0,0.0,0.0,84.85,43,0
1.0,0.0,0.0,25.25,12,0
0.0,0.0,1.0,100.15,65,0
0.0,0.0,0.0,95.8,14,0
0.0,0.0,0.0,85.25,20,1
0.0,0.0,0.0,61.3,56,0
0.0,0.0,0.0,25.1,42,0
0.0,0.0,0.0,72.9,11,0
0.0,0.0,0.0,82.0,2,1
1.0,1.0,0.0,19.65,3,0
0.0,0.0,0.0,69.35,1,1
1.0,0.0,0.0,19.55,11,0
0.0,1.0,0.0,65.25,3,0
1.0,1.0,0.0,19.55,1,0
1.0,0.0,0.0,19.95,68,0
1.0,0.0,1.0,20.2,53,0
0.0,0.0,1.0,101.4,60,0
0.0,0.0,1.0,88.9,66,0
0.0,1.0,1.0,59.0,28,0
0.0,0.0,0.0,70.05,5,0
0.0,0.0,0.0,39.1,24,1
0.0,0.0,1.0,54.15,45,1
0.0,1.0,0.0,94.05,6,0
0.0,0.0,1.0,80.3,64,0
0.0,0.0,0.0,92.85,58,0
0.0,0.0,0.0,83.15,5,1
0.0,0.0,0.0,59.05,31,0
0.0,0.0,0.0,100.25,35,1
1.0,1.0,0.0,20.2,5,0
0.0,0.0,0.0,69.95,16,0
0.0,0.0,1.0,105.75,72,0
0.0,0.0,1.0,94.15,60,0
1.0,1.0,0.0,26.3,67,0
0.0,0.0,0.0,90.35,72,0
1.0,0.0,1.0,19.85,50,0
1.0,0.0,0.0,24.0,10,0
0.0,0.0,0.0,97.95,4,1
0.0,0.0,0.0,74.9,4,1
0.0,0.0,0.0,86.8,23,0
0.0,0.0,0.0,79.7,6,0
0.0,0.0,0.0,74.75,12,0
1.0,1.0,0.0,20.55,10,0
0.0,0.0,0.0,84.6,12,0
0.0,0.0,1.0,67.5,22,1
0.0,0.0,0.0,75.45,47,0
0.0,0.0,0.0,98.75,24,1
0.0,1.0,1.0,64.4,34,1
1.0,1.0,0.0,21.25,9,0
0.0,0.0,0.0,74.9,28,1
0.0,0.0,0.0,64.15,69,0
0.0,0.0,0.0,50.65,39,0
0.0,0.0,1.0,110.5,27,0
1.0,0.0,1.0,20.5,2,0
1.0,1.0,0.0,19.4,1,0
0.0,0.0,1.0,89.75,65,1
0.0,1.0,1.0,54.3,28,0
0.0,0.0,0.0,84.45,12,1
0.0,1.0,0.0,70.45,1,1
0.0,0.0,0.0,79.5,27,1
1.0,0.0,0.0,25.3,66,0
0.0,0.0,0.0,59.75,72,0
0.0,0.0,1.0,89.85,58,0
0.0,0.0,0.0,99.8,7,1
0.0,0.0,0.0,94.4,17,1
1.0,0.0,0.0,24.7,70,0
0.0,1.0,0.0,45.6,1,0
1.0,1.0,1.0,24.7,64,0
